상품ID,상품명,기존ID,기존카테고리,추천ID,추천카테고리,상태
13241628178,거실화분정리대 미니 화분진열대 스텐 스텐드 화분,,생활/건강>정원/원예용품>화분받침,50001803,화분받침,Fixed (Phase2)
13241627738,원목화분받침대 화분 화분정리대 250mm 받침대,,생활/건강>정원/원예용품>화분받침,50001803,화분받침,Fixed (Phase2)
13241627509,토분받침대 받침대 화분 화분정리대 대형,,생활/건강>정원/원예용품>화분받침,50001803,화분받침,Fixed (Phase2)
13241627290,스텐드 원형화분받침대 화분 화분정리대 11cm,,생활/건강>정원/원예용품>화분받침,50001803,화분받침,Fixed (Phase2)
13241626786,미니 화분정리 화분거치대 스텐 스텐드 화분,,생활/건강>정원/원예용품>화분받침,50001803,화분받침,Fixed (Phase2)
13241624309,먼작귀 12색 미니 원목 색연필 (랜덤발송),,생활/건강>문구/사무용품>필기도구>사인펜,50004252,색연필,Fixed (Phase2)
13241623918,롯데 ABC초콜릿 ABC 초코 829g x 2개,,식품>과자/베이커리>초콜릿,50002000,초콜릿,Fixed (Phase2)
13241623708,롯데 ABC초콜릿 ABC 초코 829g,,식품>과자/베이커리>초콜릿,50002000,초콜릿,Fixed (Phase2)
13241622878,듀얼팁 브러쉬펜 붓 마커펜 48색 세트 DD-13167,,생활/건강>문구/사무용품>필기도구>보드마카,50000244.0,화장품/미용 > 뷰티소품 > 메이크업브러쉬,Mismatch
13241621665,식물 집게 원예 화분 고정 지지 핀 소형 10P DD-12935,,생활/건강>정원/원예용품>원예부자재,50001796,원예부자재,Fixed (Phase2)
13241621366,화분 식물 줄기 고정기 지지대 4개입 DD-12882,,생활/건강>정원/원예용품>원예부자재,50001802,화분대,Fixed (Phase2)
13241620062,화분커버 소 흙날림 흙장난방지 화분 덮개 DD-12165,,생활/건강>정원/원예용품>화분,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13241619866,화분커버 중 흙날림 흙장난방지 화분 덮개 DD-12166,,생활/건강>정원/원예용품>화분,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13241619568,화분커버 대 흙날림 흙장난방지 화분 덮개 DD-12167,,생활/건강>정원/원예용품>화분,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13241619280,토양 수분측정기 화분 물주기 수분측정계 DD-12193,,생활/건강>공구>측정공구>기타측정기,50003439,기타측정기,Fixed (Phase2)
13241618038,배드민턴 셔틀콕 혼합 컬러 공 12개 세트 DD-12368,,스포츠/레저>배드민턴>셔틀콕,1408010000.0,스포츠/레저 > 배드민턴 > 배드민턴용품/소품,Mismatch
13241617811,흙 날림방지 화분 덮개 코코넛 커버 대 10P DD-12420,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13241617579,흙 날림방지 화분 덮개 코코넛 커버 소 10P DD-12418,,생활/건강>정원/원예용품>원예부자재,50001790,미니화분,Fixed (Phase2)
13241615671,원예 화분 물뿌리개 물 조리개 물주기 2L DD-11929,,생활/건강>정원/원예용품>물조리개,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13241613918,정밀 자성 십자 드라이버 비트 세트 6P 공구함,,생활/건강>공구>전동공구>비트세트,50002668,드라이버,Fixed (Phase2)
13241611441,조지아 오리지날 240ml 캔커피 30캔 세트 사무실 간식 음료,,식품>음료>커피>커피믹스/인스턴트커피,50002605,커피음료,Fixed (Phase2)
